IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-06-10,11:24:47 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
103.170.214.31,2025-07-31,20:50:40 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
103.170.214.31,2025-07-31,20:51:26 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
154.161.29.162,2025-07-31,23:29:00 UTC,necessary,desktop,en,Chrome,Linux,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
154.161.29.162,2025-07-31,23:58:53 UTC,necessary,desktop,en,Firefox,Linux,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
154.161.163.42,2025-08-01,08:06:35 UTC,necessary,desktop,en,Firefox,Linux,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
154.161.43.98,2025-08-05,23:35:11 UTC,necessary,desktop,en,Chrome,Linux,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
117.98.135.169,2025-08-08,05:55:38 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,382350,23.0276,72.5871
117.98.135.169,2025-08-08,06:45:48 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,382350,23.0276,72.5871
154.161.234.1,2025-08-11,17:55:53 UTC,necessary,desktop,en,Firefox,Linux,Ghana,AH,Ashanti Region,Kumasi,,6.6816,-1.6221
102.176.75.190,2025-08-11,18:29:50 UTC,necessary,mobile,en,Chrome,iOS,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
152.58.60.41,2025-08-21,13:16:26 UTC,necessary,desktop,en,Chrome,OS X,India,GJ,Gujarat,Ahmedabad,380001,23.0276,72.5871
154.161.144.15,2025-08-22,00:22:29 UTC,necessary,desktop,en,Chrome,Linux,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
154.160.21.98,2025-08-24,01:00:57 UTC,necessary,desktop,en,Chrome,Linux,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
154.160.21.98,2025-08-24,11:16:01 UTC,necessary,tablet,en,Chrome,Android,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
102.176.94.236,2025-08-25,13:25:47 UTC,necessary,desktop,en,Chrome,Windows,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
103.156.145.190,2025-08-26,04:59:48 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Gandhinagar,382421,23.2167,72.6833
154.161.153.232,2025-09-01,17:45:43 UTC,necessary,desktop,en,Edge,Windows,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
154.161.153.232,2025-09-01,18:41:50 UTC,necessary,tablet,en,Chrome,Android,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
103.156.145.190,2025-09-02,04:18:48 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Gandhinagar,382421,23.2167,72.6833
154.160.18.2,2025-09-03,11:39:55 UTC,necessary,desktop,en,Firefox,Windows,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
103.156.145.190,2025-09-05,06:31:49 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Gandhinagar,382421,23.2167,72.6833
154.160.16.204,2025-09-09,06:55:00 UTC,necessary,desktop,en,Edge,Windows,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
103.156.145.207,2025-09-10,04:36:16 UTC,necessary,desktop,en,Chrome,OS X,India,GJ,Gujarat,Gandhinagar,382421,23.2167,72.6833
103.156.145.207,2025-09-10,05:59:25 UTC,necessary,desktop,en,Chrome,OS X,India,GJ,Gujarat,Gandhinagar,382421,23.2167,72.6833
154.160.18.110,2025-09-11,01:34:19 UTC,necessary,tablet,en,Chrome,Android,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
49.36.68.203,2025-09-11,09:57:02 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Ahmedabad,380052,23.0276,72.5871
154.161.45.1,2025-09-15,17:08:53 UTC,necessary,desktop,en,Chrome,Windows,Ghana,AA,Greater Accra Region,Accra,,5.5545,-0.1902
103.86.19.189,2025-09-19,10:15:15 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380007,23.0276,72.5871
103.86.19.189,2025-09-20,08:34:57 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380007,23.0276,72.5871
103.86.19.189,2025-09-20,08:39:35 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380007,23.0276,72.5871
